web-scraper-order,web-scraper-start-url,Nombre,Rating,
1615248482-95,https://www.rappi.com.mx/restaurantes/category/pizza,Tonino's Pizza,4.8,
1615248482-91,https://www.rappi.com.mx/restaurantes/category/pizza,La Patrona QRO,4.5,
1615248482-124,https://www.rappi.com.mx/restaurantes/category/pizza,"Rodeo Cruzeli's Pizza Suc: Comerciantes, Qro.",null,
1615248482-102,https://www.rappi.com.mx/restaurantes/category/pizza,Brutus Pizza,4.8,
1615248482-105,https://www.rappi.com.mx/restaurantes/category/pizza,Pizzería Ragazzo,null,
1615248482-88,https://www.rappi.com.mx/restaurantes/category/pizza,Il Diavolo,4.7,
1615248482-96,https://www.rappi.com.mx/restaurantes/category/pizza,Movies Pizza,5,
1615248482-106,https://www.rappi.com.mx/restaurantes/category/pizza,Che Chelas,null,
1615248482-122,https://www.rappi.com.mx/restaurantes/category/pizza,Sinatra Pizzeria,null,
1615248482-114,https://www.rappi.com.mx/restaurantes/category/pizza,Mamba Pizza Co.,null,
1615248482-108,https://www.rappi.com.mx/restaurantes/category/pizza,Zapata Pizza,4.6,Alamos 1ra
1615246953-42,https://www.rappi.com.mx/restaurantes/category/pizza,Chechinos Pizza,null,
1615246953-43,https://www.rappi.com.mx/restaurantes/category/pizza,Pizzeta,4.1,
1615246953-41,https://www.rappi.com.mx/restaurantes/category/pizza,Domino's Pizza,4.3,
1615246953-46,https://www.rappi.com.mx/restaurantes/category/pizza,Pizza Pub,null,
1615246953-51,https://www.rappi.com.mx/restaurantes/category/pizza,Marconni's Pizzería,null,
1615246953-45,https://www.rappi.com.mx/restaurantes/category/pizza,Cosi Fan Tutte,null,
1615246953-48,https://www.rappi.com.mx/restaurantes/category/pizza,El Hornero Pizzas y Empanadas,null,
1615246953-49,https://www.rappi.com.mx/restaurantes/category/pizza,Le Chef Querétaro,null,
1615246953-52,https://www.rappi.com.mx/restaurantes/category/pizza,Sbarro,null,
1615246953-47,https://www.rappi.com.mx/restaurantes/category/pizza,Sofía Pizzería,null,
1615246953-50,https://www.rappi.com.mx/restaurantes/category/pizza,Chef On Fuego,null,
1615246953-44,https://www.rappi.com.mx/restaurantes/category/pizza,Piu Pizza,4.6,
1615246953-53,https://www.rappi.com.mx/restaurantes/category/pizza,Angie's Pizza,null,Juriquilla
1615250284-218,https://www.rappi.com.mx/restaurantes/category/pizza,Little Caesars,4.8,
1615250284-219,https://www.rappi.com.mx/restaurantes/category/pizza,Il Diavolo,4.7,
1615250284-235,https://www.rappi.com.mx/restaurantes/category/pizza,"Gab's Pizzas, Burritos y Mas",null,
1615250284-241,https://www.rappi.com.mx/restaurantes/category/pizza,Pizzeria Ricum Di Vendi,null,
1615250284-246,https://www.rappi.com.mx/restaurantes/category/pizza,Nambila Pizza,null,
1615250284-221,https://www.rappi.com.mx/restaurantes/category/pizza,Pizza Hut,4.5,
1615250284-230,https://www.rappi.com.mx/restaurantes/category/pizza,Pizzería Ragazzo,null,
1615250284-240,https://www.rappi.com.mx/restaurantes/category/pizza,Napoli Pizza Plaza Callao,null,
1615250284-226,https://www.rappi.com.mx/restaurantes/category/pizza,Trattoria la Nonna Mirador,4.7,
1615250284-228,https://www.rappi.com.mx/restaurantes/category/pizza,Benedetti's,null,
1615250284-227,https://www.rappi.com.mx/restaurantes/category/pizza,Abuelitas Pizza,null,
1615250284-238,https://www.rappi.com.mx/restaurantes/category/pizza,Sinatra Pizzeria,null,
1615250284-242,https://www.rappi.com.mx/restaurantes/category/pizza,Pizzeria Sinatra 351,null,
1615250284-243,https://www.rappi.com.mx/restaurantes/category/pizza,Galia - Postreria y Pizza,null,
1615250284-231,https://www.rappi.com.mx/restaurantes/category/pizza,La Piccola Trattoria,null,
1615250284-245,https://www.rappi.com.mx/restaurantes/category/pizza,Slicers Pizza,null,
1615250284-237,https://www.rappi.com.mx/restaurantes/category/pizza,Lynchburg,null,
1615250284-225,https://www.rappi.com.mx/restaurantes/category/pizza,Pizzeta,4.3,
1615250284-234,https://www.rappi.com.mx/restaurantes/category/pizza,Furiosa Sports Bar,null,
1615250284-239,https://www.rappi.com.mx/restaurantes/category/pizza,Diktatur,null,
1615250284-244,https://www.rappi.com.mx/restaurantes/category/pizza,College Bar,null,
1615250284-236,https://www.rappi.com.mx/restaurantes/category/pizza,Aldo's Pizza,null,
1615250284-223,https://www.rappi.com.mx/restaurantes/category/pizza,La Patrona QRO,4.5,
1615250284-222,https://www.rappi.com.mx/restaurantes/category/pizza,Cosi Fan Tutte,4.6,
1615250284-229,https://www.rappi.com.mx/restaurantes/category/pizza,Ipanema Pizza Buffet,null,
1615250284-232,https://www.rappi.com.mx/restaurantes/category/pizza,Cheese Up,4.3,
