web-scraper-order,web-scraper-start-url,name-link,name-link-href,name,rating,evals,price-food,name-food,colonia
1616632420-54,https://www.ubereats.com/search?ps=1&q=Pizza&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMkVsJTIwQ2FtcGFuYXJpbyUyMiUyQyUyMnJlZmVyZW5jZSUyMiUzQSUyMkNoSUpJVlAzMDJGYjA0VVJEOW15c2hJQ3RuZyUyMiUyQyUyMnJlZmVyZW5jZVR5cGUlMjIlM0ElMjJnb29nbGVfcGxhY2VzJTIyJTJDJTIybGF0aXR1ZGUlMjIlM0EyMC42MTY4NDQxJTJDJTIybG9uZ2l0dWRlJTIyJTNBLTEwMC4zNDkyOTU5JTdE,Nuut Grill,https://www.ubereats.com/queretaro/food-delivery/nuut-grill/SEWevzjGT8an5qGI5iBwaw,Nuut Grill,null,null,MX$130.00,Chorizo asado,campanario
1616632663-1751,https://www.ubereats.com/search?ps=1&q=Pizza&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMkVsJTIwQ2FtcGFuYXJpbyUyMiUyQyUyMnJlZmVyZW5jZSUyMiUzQSUyMkNoSUpJVlAzMDJGYjA0VVJEOW15c2hJQ3RuZyUyMiUyQyUyMnJlZmVyZW5jZVR5cGUlMjIlM0ElMjJnb29nbGVfcGxhY2VzJTIyJTJDJTIybGF0aXR1ZGUlMjIlM0EyMC42MTY4NDQxJTJDJTIybG9uZ2l0dWRlJTIyJTNBLTEwMC4zNDkyOTU5JTdE,Lynchburg,https://www.ubereats.com/queretaro/food-delivery/lynchburg/vcDKNXkrT3mpG40TDtkUNw,Lynchburg,null,null,MX$189.00,Pizza de carnes frias,campanario
1616632780-2437,https://www.ubereats.com/search?ps=1&q=Pizza&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMkVsJTIwQ2FtcGFuYXJpbyUyMiUyQyUyMnJlZmVyZW5jZSUyMiUzQSUyMkNoSUpJVlAzMDJGYjA0VVJEOW15c2hJQ3RuZyUyMiUyQyUyMnJlZmVyZW5jZVR5cGUlMjIlM0ElMjJnb29nbGVfcGxhY2VzJTIyJTJDJTIybGF0aXR1ZGUlMjIlM0EyMC42MTY4NDQxJTJDJTIybG9uZ2l0dWRlJTIyJTNBLTEwMC4zNDkyOTU5JTdE,Pizzeta (Arcos),https://www.ubereats.com/queretaro/food-delivery/pizzeta-arcos/mW-QXCQ9S0-GtFmg0EErTg,Pizzeta (Arcos),4.3,-47,MX$39.00,Ensalada Mixta Individual,campanario
1616632645-1533,https://www.ubereats.com/search?ps=1&q=Pizza&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMkVsJTIwQ2FtcGFuYXJpbyUyMiUyQyUyMnJlZmVyZW5jZSUyMiUzQSUyMkNoSUpJVlAzMDJGYjA0VVJEOW15c2hJQ3RuZyUyMiUyQyUyMnJlZmVyZW5jZVR5cGUlMjIlM0ElMjJnb29nbGVfcGxhY2VzJTIyJTJDJTIybGF0aXR1ZGUlMjIlM0EyMC42MTY4NDQxJTJDJTIybG9uZ2l0dWRlJTIyJTNBLTEwMC4zNDkyOTU5JTdE,Micaela Cocina & Café,https://www.ubereats.com/queretaro/food-delivery/micaela-cocina-%26-cafe/qSSPCRq_RGak9BcIUJBAew,Micaela Cocina & Café,4.8,-79,MX$78.00,Latte saborizado,campanario
1616632430-110,https://www.ubereats.com/search?ps=1&q=Pizza&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMkVsJTIwQ2FtcGFuYXJpbyUyMiUyQyUyMnJlZmVyZW5jZSUyMiUzQSUyMkNoSUpJVlAzMDJGYjA0VVJEOW15c2hJQ3RuZyUyMiUyQyUyMnJlZmVyZW5jZVR5cGUlMjIlM0ElMjJnb29nbGVfcGxhY2VzJTIyJTJDJTIybGF0aXR1ZGUlMjIlM0EyMC42MTY4NDQxJTJDJTIybG9uZ2l0dWRlJTIyJTNBLTEwMC4zNDkyOTU5JTdE,Diktatur (Peralta),https://www.ubereats.com/queretaro/food-delivery/diktatur-peralta/464Mm3tLTBO3N2OfFYcVMQ,Diktatur (Peralta),4.5,-10,MX$60.00,Sincronizada continental,campanario
1616632709-2012,https://www.ubereats.com/search?ps=1&q=Pizza&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMkVsJTIwQ2FtcGFuYXJpbyUyMiUyQyUyMnJlZmVyZW5jZSUyMiUzQSUyMkNoSUpJVlAzMDJGYjA0VVJEOW15c2hJQ3RuZyUyMiUyQyUyMnJlZmVyZW5jZVR5cGUlMjIlM0ElMjJnb29nbGVfcGxhY2VzJTIyJTJDJTIybGF0aXR1ZGUlMjIlM0EyMC42MTY4NDQxJTJDJTIybG9uZ2l0dWRlJTIyJTNBLTEwMC4zNDkyOTU5JTdE,Manduka Restaurante,https://www.ubereats.com/queretaro/food-delivery/manduka-restaurante/RliM0mXpRp6FeZrRC1W_lw,Manduka Restaurante,4.8,-44,MX$99.00,Ciabatta yucateco,campanario
1616632645-1655,https://www.ubereats.com/search?ps=1&q=Pizza&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMkVsJTIwQ2FtcGFuYXJpbyUyMiUyQyUyMnJlZmVyZW5jZSUyMiUzQSUyMkNoSUpJVlAzMDJGYjA0VVJEOW15c2hJQ3RuZyUyMiUyQyUyMnJlZmVyZW5jZVR5cGUlMjIlM0ElMjJnb29nbGVfcGxhY2VzJTIyJTJDJTIybGF0aXR1ZGUlMjIlM0EyMC42MTY4NDQxJTJDJTIybG9uZ2l0dWRlJTIyJTNBLTEwMC4zNDkyOTU5JTdE,Micaela Cocina & Café,https://www.ubereats.com/queretaro/food-delivery/micaela-cocina-%26-cafe/qSSPCRq_RGak9BcIUJBAew,Micaela Cocina & Café,4.8,-79,MX$130.00,Malteada  De Chocolate,campanario
1616632540-662,https://www.ubereats.com/search?ps=1&q=Pizza&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMkVsJTIwQ2FtcGFuYXJpbyUyMiUyQyUyMnJlZmVyZW5jZSUyMiUzQSUyMkNoSUpJVlAzMDJGYjA0VVJEOW15c2hJQ3RuZyUyMiUyQyUyMnJlZmVyZW5jZVR5cGUlMjIlM0ElMjJnb29nbGVfcGxhY2VzJTIyJTJDJTIybGF0aXR1ZGUlMjIlM0EyMC42MTY4NDQxJTJDJTIybG9uZ2l0dWRlJTIyJTNBLTEwMC4zNDkyOTU5JTdE,Cassava Roots (Paseo Queretaro),https://www.ubereats.com/queretaro/food-delivery/cassava-roots-paseo-queretaro/NBxsTW6SSNKx8NE748-Udg,Cassava Roots (Paseo Queretaro),4.5,-33,MX$45.00,Edamames,campanario
1616632780-2435,https://www.ubereats.com/search?ps=1&q=Pizza&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMkVsJTIwQ2FtcGFuYXJpbyUyMiUyQyUyMnJlZmVyZW5jZSUyMiUzQSUyMkNoSUpJVlAzMDJGYjA0VVJEOW15c2hJQ3RuZyUyMiUyQyUyMnJlZmVyZW5jZVR5cGUlMjIlM0ElMjJnb29nbGVfcGxhY2VzJTIyJTJDJTIybGF0aXR1ZGUlMjIlM0EyMC42MTY4NDQxJTJDJTIybG9uZ2l0dWRlJTIyJTNBLTEwMC4zNDkyOTU5JTdE,Pizzeta (Arcos),https://www.ubereats.com/queretaro/food-delivery/pizzeta-arcos/mW-QXCQ9S0-GtFmg0EErTg,Pizzeta (Arcos),4.3,-47,MX$119.00,Pizza familiar,campanario
1616632797-2513,https://www.ubereats.com/search?ps=1&q=Pizza&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMkVsJTIwQ2FtcGFuYXJpbyUyMiUyQyUyMnJlZmVyZW5jZSUyMiUzQSUyMkNoSUpJVlAzMDJGYjA0VVJEOW15c2hJQ3RuZyUyMiUyQyUyMnJlZmVyZW5jZVR5cGUlMjIlM0ElMjJnb29nbGVfcGxhY2VzJTIyJTJDJTIybGF0aXR1ZGUlMjIlM0EyMC42MTY4NDQxJTJDJTIybG9uZ2l0dWRlJTIyJTNBLTEwMC4zNDkyOTU5JTdE,Sagrada pizza (Milenio),https://www.ubereats.com/queretaro/food-delivery/sagrada-pizza-milenio/t5TXOiLER2y8VMCxPV5Mkw,Sagrada pizza (Milenio),4.7,-23,MX$200.00,Pizza 4 quesos,campanario
