web-scraper-order,web-scraper-start-url,name,rating,name-link,name-link-href,price-food,name-food,colonia
1616628183-9133,https://www.rappi.com.mx/restaurantes/category/pizza,Tonino's Pizza,4.8,Tonino's Pizza  4.8  Pizza  37 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard,https://www.rappi.com.mx/restaurantes/1923222036,184,Arrachera Arriera,cimatario
1616627983-7717,https://www.rappi.com.mx/restaurantes/category/pizza,The Factory,null,The Factory  Pizza  36 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard,https://www.rappi.com.mx/restaurantes/1923201244,180,Pizza Pera con Queso Azul,cimatario
1616627994-7808,https://www.rappi.com.mx/restaurantes/category/pizza,Little Rome Pizza,null,Little Rome Pizza   Pizza  33 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard,https://www.rappi.com.mx/restaurantes/1923233463,50,Spaguetti,cimatario
1616628080-8386,https://www.rappi.com.mx/restaurantes/category/pizza,Che Chelas,null,Che Chelas  Pizza  34 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard,https://www.rappi.com.mx/restaurantes/990007313,50,Clamato Natural,cimatario
1616628050-8235,https://www.rappi.com.mx/restaurantes/category/pizza,Diktatur,4.3,"Diktatur  4.3  Pizza ,  Wings  42 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard",https://www.rappi.com.mx/restaurantes/1923221544,65,Pulque de Avena 330 ml,cimatario
1616628136-8756,https://www.rappi.com.mx/restaurantes/category/pizza,San Teo,null,"San Teo  Pizza ,  Italiana  43 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard",https://www.rappi.com.mx/restaurantes/1923223375,285,Pizza de Jamón Serrano,cimatario
1616628050-8142,https://www.rappi.com.mx/restaurantes/category/pizza,Diktatur,4.3,"Diktatur  4.3  Pizza ,  Wings  42 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard",https://www.rappi.com.mx/restaurantes/1923221544,65,Omelette,cimatario
1616628050-8152,https://www.rappi.com.mx/restaurantes/category/pizza,Diktatur,4.3,"Diktatur  4.3  Pizza ,  Wings  42 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard",https://www.rappi.com.mx/restaurantes/1923221544,50,Pizza Bbq,cimatario
1616628147-8794,https://www.rappi.com.mx/restaurantes/category/pizza,Santa Fortuna,null,"Santa Fortuna  Pizza ,  Desayunos  34 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard",https://www.rappi.com.mx/restaurantes/1923213865,143,Omelette Vegetales Rostizados,cimatario
1616628010-7896,https://www.rappi.com.mx/restaurantes/category/pizza,La Gabella,null,La Gabella  Pizza  33 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard,https://www.rappi.com.mx/restaurantes/1306715407,215,Chilorio,cimatario
1616628199-9242,https://www.rappi.com.mx/restaurantes/category/pizza,Little Caesars,4.8,Little Caesars  4.8  Pizza  40 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard,https://www.rappi.com.mx/restaurantes/1306716078,238,Paquete Super Cheese,cimatario
1616628032-7994,https://www.rappi.com.mx/restaurantes/category/pizza,Bruno,null,"Bruno  Pizza ,  Italiana  35 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard",https://www.rappi.com.mx/restaurantes/1923204756,205,Ravioli al Forno,cimatario
1616628010-7877,https://www.rappi.com.mx/restaurantes/category/pizza,La Gabella,null,La Gabella  Pizza  33 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard,https://www.rappi.com.mx/restaurantes/1306715407,300,Arrachera,cimatario
1616628158-8983,https://www.rappi.com.mx/restaurantes/category/pizza,Pizzeta,4.5,Pizzeta  4.5  Pizza  31 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard,https://www.rappi.com.mx/restaurantes/1923219281,45,Helado Micha Napolitano,cimatario
1616628091-8475,https://www.rappi.com.mx/restaurantes/category/pizza,Piu Pizza,null,Piu Pizza  Pizza  32 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard,https://www.rappi.com.mx/restaurantes/1923219414,125,Calzoni Napolitano,cimatario
1616628050-8151,https://www.rappi.com.mx/restaurantes/category/pizza,Diktatur,4.3,"Diktatur  4.3  Pizza ,  Wings  42 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard",https://www.rappi.com.mx/restaurantes/1923221544,65,Pizza Bbq,cimatario
1616628147-8811,https://www.rappi.com.mx/restaurantes/category/pizza,Santa Fortuna,null,"Santa Fortuna  Pizza ,  Desayunos  34 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard",https://www.rappi.com.mx/restaurantes/1923213865,148,Cazuela de Champiñones,cimatario
1616628164-9017,https://www.rappi.com.mx/restaurantes/category/pizza,Crécola,4.8,Crécola  4.8  Pizza  43 min ● $23 ¡90% OFF EN TODO! MÍN. $100 RappiCard,https://www.rappi.com.mx/restaurantes/1306701238,152,Pasta Marinara,cimatario
1616628097-8535,https://www.rappi.com.mx/restaurantes/category/pizza,Trattoria La Nonna,null,"Trattoria La Nonna  Pizza ,  Italiana  30 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard",https://www.rappi.com.mx/restaurantes/1306701882,140,Petto Di Pollo Alla Griglia,cimatario
1616628164-8985,https://www.rappi.com.mx/restaurantes/category/pizza,Crécola,4.8,Crécola  4.8  Pizza  43 min ● $23 ¡90% OFF EN TODO! MÍN. $100 RappiCard,https://www.rappi.com.mx/restaurantes/1306701238,210,Carpaccio de Res,cimatario
1616628199-9253,https://www.rappi.com.mx/restaurantes/category/pizza,Little Caesars,4.8,Little Caesars  4.8  Pizza  40 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard,https://www.rappi.com.mx/restaurantes/1306716078,169,Pizza Hula Hawaiian,cimatario
1616628069-8320,https://www.rappi.com.mx/restaurantes/category/pizza,Il Pizzaiolo Qro,4.2,Il Pizzaiolo Qro  4.2  Pizza  34 min ¡92% OFF EN TODO! MÍN. $100 RappiCard,https://www.rappi.com.mx/restaurantes/1923257737,179,Messicana,cimatario
1616628069-8324,https://www.rappi.com.mx/restaurantes/category/pizza,Il Pizzaiolo Qro,4.2,Il Pizzaiolo Qro  4.2  Pizza  34 min ¡92% OFF EN TODO! MÍN. $100 RappiCard,https://www.rappi.com.mx/restaurantes/1923257737,99,Ensalada Toscana,cimatario
1616628158-8978,https://www.rappi.com.mx/restaurantes/category/pizza,Pizzeta,4.5,Pizzeta  4.5  Pizza  31 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard,https://www.rappi.com.mx/restaurantes/1923219281,39,Cornetto Oreo,cimatario
1616628097-8525,https://www.rappi.com.mx/restaurantes/category/pizza,Trattoria La Nonna,null,"Trattoria La Nonna  Pizza ,  Italiana  30 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard",https://www.rappi.com.mx/restaurantes/1306701882,174,Pasta ai Gamberi,cimatario
1616628080-8374,https://www.rappi.com.mx/restaurantes/category/pizza,Che Chelas,null,Che Chelas  Pizza  34 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard,https://www.rappi.com.mx/restaurantes/990007313,60,Tacos de Arrachera,cimatario
1616628044-8102,https://www.rappi.com.mx/restaurantes/category/pizza,Abuelitas Pizza,4.5,Abuelitas Pizza  4.5  Pizza  31 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard,https://www.rappi.com.mx/restaurantes/1923220313,248,Pizza Europea,cimatario
1616627999-7849,https://www.rappi.com.mx/restaurantes/category/pizza,Pizza Tec,null,Pizza Tec  Pizza  54 min ¡90% OFF EN TODO! MÍN. $100 RappiCard,https://www.rappi.com.mx/restaurantes/990006472,189,Pizza 4 Formaggi Grande,cimatario
1616628032-7991,https://www.rappi.com.mx/restaurantes/category/pizza,Bruno,null,"Bruno  Pizza ,  Italiana  35 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard",https://www.rappi.com.mx/restaurantes/1923204756,320,Pasta Fettuccine Negros,cimatario
1616628050-8176,https://www.rappi.com.mx/restaurantes/category/pizza,Diktatur,4.3,"Diktatur  4.3  Pizza ,  Wings  42 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard",https://www.rappi.com.mx/restaurantes/1923221544,50,Perro Nicolas Maquiavelo,cimatario
1616628199-9240,https://www.rappi.com.mx/restaurantes/category/pizza,Little Caesars,4.8,Little Caesars  4.8  Pizza  40 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard,https://www.rappi.com.mx/restaurantes/1306716078,295,Paquete Fiesta,cimatario
1616628147-8858,https://www.rappi.com.mx/restaurantes/category/pizza,Santa Fortuna,null,"Santa Fortuna  Pizza ,  Desayunos  34 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard",https://www.rappi.com.mx/restaurantes/1923213865,229,Pizza Rockefeller,cimatario
1616628158-8943,https://www.rappi.com.mx/restaurantes/category/pizza,Pizzeta,4.5,Pizzeta  4.5  Pizza  31 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard,https://www.rappi.com.mx/restaurantes/1923219281,105,Pizza Italiana,cimatario
1616628164-9031,https://www.rappi.com.mx/restaurantes/category/pizza,Crécola,4.8,Crécola  4.8  Pizza  43 min ● $23 ¡90% OFF EN TODO! MÍN. $100 RappiCard,https://www.rappi.com.mx/restaurantes/1306701238,85,Brownie de Chocolate,cimatario
1616628107-8612,https://www.rappi.com.mx/restaurantes/category/pizza,Tonino´s Pizza,null,"Tonino´s Pizza  Pizza ,  Mexicana  34 min ● $31  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard",https://www.rappi.com.mx/restaurantes/1306701992,57,Sopa Azteca,cimatario
1616628164-9016,https://www.rappi.com.mx/restaurantes/category/pizza,Crécola,4.8,Crécola  4.8  Pizza  43 min ● $23 ¡90% OFF EN TODO! MÍN. $100 RappiCard,https://www.rappi.com.mx/restaurantes/1306701238,128,Lassagna Verdura,cimatario
1616627994-7813,https://www.rappi.com.mx/restaurantes/category/pizza,Little Rome Pizza,null,Little Rome Pizza   Pizza  33 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard,https://www.rappi.com.mx/restaurantes/1923233463,30,Fanta Naranja 600 ml,cimatario
1616628032-7995,https://www.rappi.com.mx/restaurantes/category/pizza,Bruno,null,"Bruno  Pizza ,  Italiana  35 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard",https://www.rappi.com.mx/restaurantes/1923204756,285,Pasta Fettuccine Ai Funghi,cimatario
1616628027-7944,https://www.rappi.com.mx/restaurantes/category/pizza,La Vieja Varsovia,null,La Vieja Varsovia  Pizza  30 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard,https://www.rappi.com.mx/restaurantes/1306704330,132,Pizza Salami Italiano,cimatario
1616628050-8199,https://www.rappi.com.mx/restaurantes/category/pizza,Diktatur,4.3,"Diktatur  4.3  Pizza ,  Wings  42 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard",https://www.rappi.com.mx/restaurantes/1923221544,50,Piñada 330 ml,cimatario
1616628069-8339,https://www.rappi.com.mx/restaurantes/category/pizza,Il Pizzaiolo Qro,4.2,Il Pizzaiolo Qro  4.2  Pizza  34 min ¡92% OFF EN TODO! MÍN. $100 RappiCard,https://www.rappi.com.mx/restaurantes/1923257737,115,Pasta a la Bolognesa,cimatario
1616628027-7952,https://www.rappi.com.mx/restaurantes/category/pizza,La Vieja Varsovia,null,La Vieja Varsovia  Pizza  30 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard,https://www.rappi.com.mx/restaurantes/1306704330,107,Provolone con Tomatito Cherry,cimatario
1616628119-8704,https://www.rappi.com.mx/restaurantes/category/pizza,Güero's Pizza,null,Güero's Pizza  Pizza  31 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard,https://www.rappi.com.mx/restaurantes/1923229457,303,Pizza Mediana Carne Frías,cimatario
1616628027-7943,https://www.rappi.com.mx/restaurantes/category/pizza,La Vieja Varsovia,null,La Vieja Varsovia  Pizza  30 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard,https://www.rappi.com.mx/restaurantes/1306704330,132,Pizza Jamón con Champiñones,cimatario
1616628164-9020,https://www.rappi.com.mx/restaurantes/category/pizza,Crécola,4.8,Crécola  4.8  Pizza  43 min ● $23 ¡90% OFF EN TODO! MÍN. $100 RappiCard,https://www.rappi.com.mx/restaurantes/1306701238,152,Pasta Carbonara,cimatario
1616628080-8350,https://www.rappi.com.mx/restaurantes/category/pizza,Che Chelas,null,Che Chelas  Pizza  34 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard,https://www.rappi.com.mx/restaurantes/990007313,85,Ensalada Arrachera,cimatario
1616628102-8594,https://www.rappi.com.mx/restaurantes/category/pizza,La Piccola Italia,null,"La Piccola Italia  Pizza ,  Italiana  31 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard",https://www.rappi.com.mx/restaurantes/990005617,30,Acqua,cimatario
1616627983-7744,https://www.rappi.com.mx/restaurantes/category/pizza,The Factory,null,The Factory  Pizza  36 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard,https://www.rappi.com.mx/restaurantes/1923201244,30,Heineken 0.0 355 ml,cimatario
1616627978-7692,https://www.rappi.com.mx/restaurantes/category/pizza,Slicers Pizza,null,Slicers Pizza  Pizza  30 min ¡90% OFF EN TODO! MÍN. $100 RappiCard,https://www.rappi.com.mx/restaurantes/1923254801,99,Boneless Natural,cimatario
1616628027-7938,https://www.rappi.com.mx/restaurantes/category/pizza,La Vieja Varsovia,null,La Vieja Varsovia  Pizza  30 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard,https://www.rappi.com.mx/restaurantes/1306704330,195,Ensalada de Salmón,cimatario
1616628039-8057,https://www.rappi.com.mx/restaurantes/category/pizza,California Pizza Kitchen,null,California Pizza Kitchen  Pizza  36 min ¡90% OFF EN TODO! MÍN. $100 RappiCard,https://www.rappi.com.mx/restaurantes/1306716814,199,Spaghetti Bolognese,cimatario
1616628039-8071,https://www.rappi.com.mx/restaurantes/category/pizza,California Pizza Kitchen,null,California Pizza Kitchen  Pizza  36 min ¡90% OFF EN TODO! MÍN. $100 RappiCard,https://www.rappi.com.mx/restaurantes/1306716814,239,Pizza CPK al Pastor,cimatario
1616628050-8161,https://www.rappi.com.mx/restaurantes/category/pizza,Diktatur,4.3,"Diktatur  4.3  Pizza ,  Wings  42 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard",https://www.rappi.com.mx/restaurantes/1923221544,50,Pizza Granjero,cimatario
1616628164-8992,https://www.rappi.com.mx/restaurantes/category/pizza,Crécola,4.8,Crécola  4.8  Pizza  43 min ● $23 ¡90% OFF EN TODO! MÍN. $100 RappiCard,https://www.rappi.com.mx/restaurantes/1306701238,90,Crema de Champiñones,cimatario
1616628147-8797,https://www.rappi.com.mx/restaurantes/category/pizza,Santa Fortuna,null,"Santa Fortuna  Pizza ,  Desayunos  34 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard",https://www.rappi.com.mx/restaurantes/1923213865,143,Omelette California,cimatario
1616628177-9102,https://www.rappi.com.mx/restaurantes/category/pizza,Trapani Pizza,4.8,Trapani Pizza  4.8  Pizza  48 min ● $36  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard,https://www.rappi.com.mx/restaurantes/1306704701,59,Papas Gajo,cimatario
1616628158-8954,https://www.rappi.com.mx/restaurantes/category/pizza,Pizzeta,4.5,Pizzeta  4.5  Pizza  31 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard,https://www.rappi.com.mx/restaurantes/1923219281,115,Pizza Hawaiana,cimatario
1616628069-8325,https://www.rappi.com.mx/restaurantes/category/pizza,Il Pizzaiolo Qro,4.2,Il Pizzaiolo Qro  4.2  Pizza  34 min ¡92% OFF EN TODO! MÍN. $100 RappiCard,https://www.rappi.com.mx/restaurantes/1923257737,99,Ensalada Umbria,cimatario
1616628044-8109,https://www.rappi.com.mx/restaurantes/category/pizza,Abuelitas Pizza,4.5,Abuelitas Pizza  4.5  Pizza  31 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard,https://www.rappi.com.mx/restaurantes/1923220313,248,Pizza Vegetariana,cimatario
1616628050-8202,https://www.rappi.com.mx/restaurantes/category/pizza,Diktatur,4.3,"Diktatur  4.3  Pizza ,  Wings  42 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard",https://www.rappi.com.mx/restaurantes/1923221544,50,Coca Cola Original 355 ml,cimatario
1616628147-8793,https://www.rappi.com.mx/restaurantes/category/pizza,Santa Fortuna,null,"Santa Fortuna  Pizza ,  Desayunos  34 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard",https://www.rappi.com.mx/restaurantes/1923213865,143,Chilaquiles de Cochinita,cimatario
1616628147-8790,https://www.rappi.com.mx/restaurantes/category/pizza,Santa Fortuna,null,"Santa Fortuna  Pizza ,  Desayunos  34 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard",https://www.rappi.com.mx/restaurantes/1923213865,118,Molletes,cimatario
1616628032-8030,https://www.rappi.com.mx/restaurantes/category/pizza,Bruno,null,"Bruno  Pizza ,  Italiana  35 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard",https://www.rappi.com.mx/restaurantes/1923204756,53,Fanta Naranja 355 ml,cimatario
1616627983-7711,https://www.rappi.com.mx/restaurantes/category/pizza,The Factory,null,The Factory  Pizza  36 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard,https://www.rappi.com.mx/restaurantes/1923201244,180,Pizza Margarita,cimatario
1616628147-8906,https://www.rappi.com.mx/restaurantes/category/pizza,Santa Fortuna,null,"Santa Fortuna  Pizza ,  Desayunos  34 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard",https://www.rappi.com.mx/restaurantes/1923213865,128,Profiteroles,cimatario
1616628050-8247,https://www.rappi.com.mx/restaurantes/category/pizza,Diktatur,4.3,"Diktatur  4.3  Pizza ,  Wings  42 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard",https://www.rappi.com.mx/restaurantes/1923221544,50,"Pulque de Pepino, Piña y Chile Piquin 330 ml",cimatario
1616628158-8940,https://www.rappi.com.mx/restaurantes/category/pizza,Pizzeta,4.5,Pizzeta  4.5  Pizza  31 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard,https://www.rappi.com.mx/restaurantes/1923219281,100,Pizza Salami,cimatario
