web-scraper-order,web-scraper-start-url,name,rating,name-link,name-link-href,price-food,name-food,colonia
1616634241-7383,https://www.rappi.com.mx/restaurantes/category/pizza,Cheese Up,3.9,Cheese Up  3.9  Pizza  36 min ¡90% OFF EN TODO! MÍN. $100 RappiCard,https://www.rappi.com.mx/restaurantes/990004915,20,Coca-Cola Original,campanario
1616634294-7521,https://www.rappi.com.mx/restaurantes/category/pizza,Bruno,null,"Bruno  Pizza ,  Italiana  34 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard",https://www.rappi.com.mx/restaurantes/1923204756,90,Gelato,campanario
1616634305-7540,https://www.rappi.com.mx/restaurantes/category/pizza,Cosi Fan Tutte,4.6,"Cosi Fan Tutte  4.6  Pizza ,  Italiana  37 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard",https://www.rappi.com.mx/restaurantes/990007632,90,Empanada de queso con elote,campanario
1616634294-7515,https://www.rappi.com.mx/restaurantes/category/pizza,Bruno,null,"Bruno  Pizza ,  Italiana  34 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard",https://www.rappi.com.mx/restaurantes/1923204756,290,Quesadillas de Vacío,campanario
1616634231-7367,https://www.rappi.com.mx/restaurantes/category/pizza,lynchburg,null,lynchburg  Pizza  36 min ¡90% OFF EN TODO! MÍN. $100 RappiCard,https://www.rappi.com.mx/restaurantes/1923274883,99,Salchicha Jack,campanario
1616634294-7526,https://www.rappi.com.mx/restaurantes/category/pizza,Bruno,null,"Bruno  Pizza ,  Italiana  34 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard",https://www.rappi.com.mx/restaurantes/1923204756,53,Coca Cola Sin Azúcar 355 ml,campanario
1616634294-7490,https://www.rappi.com.mx/restaurantes/category/pizza,Bruno,null,"Bruno  Pizza ,  Italiana  34 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard",https://www.rappi.com.mx/restaurantes/1923204756,310,Pasta Bucatini Bruno,campanario
1616634220-7314,https://www.rappi.com.mx/restaurantes/category/pizza,Cardosanto Pizza,null,Cardosanto Pizza  Pizza  41 min ¡90% OFF EN TODO! MÍN. $100 RappiCard,https://www.rappi.com.mx/restaurantes/1923327523,80,Albóndiga de Rib Eye,campanario
1616634241-7376,https://www.rappi.com.mx/restaurantes/category/pizza,Cheese Up,3.9,Cheese Up  3.9  Pizza  36 min ¡90% OFF EN TODO! MÍN. $100 RappiCard,https://www.rappi.com.mx/restaurantes/990004915,155,Pizza Choriqueso,campanario
1616634347-7687,https://www.rappi.com.mx/restaurantes/category/pizza,Il Diavolo,4.8,"Il Diavolo  4.8  Pizza ,  Italiana  40 min ¡90% OFF EN TODO! MÍN. $100 RappiCard",https://www.rappi.com.mx/restaurantes/990007783,234,Pollo Toscano,campanario
1616634294-7520,https://www.rappi.com.mx/restaurantes/category/pizza,Bruno,null,"Bruno  Pizza ,  Italiana  34 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard",https://www.rappi.com.mx/restaurantes/1923204756,135,Meringata,campanario
1616634231-7350,https://www.rappi.com.mx/restaurantes/category/pizza,lynchburg,null,lynchburg  Pizza  36 min ¡90% OFF EN TODO! MÍN. $100 RappiCard,https://www.rappi.com.mx/restaurantes/1923274883,159,Hamburguesa Jack,campanario
1616634179-7274,https://www.rappi.com.mx/restaurantes/category/pizza,Pizzas Dominio,null,"Pizzas Dominio  Pizza ,  Mexicana  34 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard",https://www.rappi.com.mx/restaurantes/1923253982,375,Lomo de Salmón a la Parrilla,campanario
1616634262-7405,https://www.rappi.com.mx/restaurantes/category/pizza,Ipanema,null,Ipanema  Pizza  34 min ¡90% OFF EN TODO! MÍN. $100 RappiCard,https://www.rappi.com.mx/restaurantes/990004696,183,Champi Quesos,campanario
1616634262-7400,https://www.rappi.com.mx/restaurantes/category/pizza,Ipanema,null,Ipanema  Pizza  34 min ¡90% OFF EN TODO! MÍN. $100 RappiCard,https://www.rappi.com.mx/restaurantes/990004696,183,Carnes Frías,campanario
1616634262-7413,https://www.rappi.com.mx/restaurantes/category/pizza,Ipanema,null,Ipanema  Pizza  34 min ¡90% OFF EN TODO! MÍN. $100 RappiCard,https://www.rappi.com.mx/restaurantes/990004696,183,Bahiana,campanario
1616634189-7284,https://www.rappi.com.mx/restaurantes/category/pizza,Rio Quintana,null,Rio Quintana  Pizza  35 min ¡90% OFF EN TODO! MÍN. $100 RappiCard,https://www.rappi.com.mx/restaurantes/1923274869,65,Empanada Jamón Serrano y Queso,campanario
1616634189-7282,https://www.rappi.com.mx/restaurantes/category/pizza,Rio Quintana,null,Rio Quintana  Pizza  35 min ¡90% OFF EN TODO! MÍN. $100 RappiCard,https://www.rappi.com.mx/restaurantes/1923274869,65,Empanada de Carne,campanario
1616634358-7712,https://www.rappi.com.mx/restaurantes/category/pizza,Little Caesars,4.7,Little Caesars  4.7  Pizza  42 min ¡90% OFF EN TODO! MÍN. $100 RappiCard,https://www.rappi.com.mx/restaurantes/1306706474,199,Pizza Super Cheese Hula Hawaiian,campanario
1616634262-7423,https://www.rappi.com.mx/restaurantes/category/pizza,Ipanema,null,Ipanema  Pizza  34 min ¡90% OFF EN TODO! MÍN. $100 RappiCard,https://www.rappi.com.mx/restaurantes/990004696,183,Catalana,campanario
1616634305-7541,https://www.rappi.com.mx/restaurantes/category/pizza,Cosi Fan Tutte,4.6,"Cosi Fan Tutte  4.6  Pizza ,  Italiana  37 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard",https://www.rappi.com.mx/restaurantes/990007632,90,Empanada  grande de queso,campanario
1616634262-7414,https://www.rappi.com.mx/restaurantes/category/pizza,Ipanema,null,Ipanema  Pizza  34 min ¡90% OFF EN TODO! MÍN. $100 RappiCard,https://www.rappi.com.mx/restaurantes/990004696,183,Canadiense,campanario
1616634294-7459,https://www.rappi.com.mx/restaurantes/category/pizza,Bruno,null,"Bruno  Pizza ,  Italiana  34 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard",https://www.rappi.com.mx/restaurantes/1923204756,155,Tortellini in Brodo,campanario
1616634262-7410,https://www.rappi.com.mx/restaurantes/category/pizza,Ipanema,null,Ipanema  Pizza  34 min ¡90% OFF EN TODO! MÍN. $100 RappiCard,https://www.rappi.com.mx/restaurantes/990004696,183,Carioca,campanario
1616634241-7382,https://www.rappi.com.mx/restaurantes/category/pizza,Cheese Up,3.9,Cheese Up  3.9  Pizza  36 min ¡90% OFF EN TODO! MÍN. $100 RappiCard,https://www.rappi.com.mx/restaurantes/990004915,40,Sprite 1.5 L,campanario
1616634179-7269,https://www.rappi.com.mx/restaurantes/category/pizza,Pizzas Dominio,null,"Pizzas Dominio  Pizza ,  Mexicana  34 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard",https://www.rappi.com.mx/restaurantes/1923253982,130,Guacamole con Totopos,campanario
1616634179-7248,https://www.rappi.com.mx/restaurantes/category/pizza,Pizzas Dominio,null,"Pizzas Dominio  Pizza ,  Mexicana  34 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard",https://www.rappi.com.mx/restaurantes/1923253982,210,Pizza Meat Feast,campanario
1616634347-7656,https://www.rappi.com.mx/restaurantes/category/pizza,Il Diavolo,4.8,"Il Diavolo  4.8  Pizza ,  Italiana  40 min ¡90% OFF EN TODO! MÍN. $100 RappiCard",https://www.rappi.com.mx/restaurantes/990007783,197,Tártara de Salmón,campanario
1616634326-7599,https://www.rappi.com.mx/restaurantes/category/pizza,Domino's Pizza,3.7,Domino's Pizza  3.7  Pizza  30 min ¡90% OFF EN TODO! MÍN. $100 RappiCard,https://www.rappi.com.mx/restaurantes/1923226374,289,Pizza Extra grande 2-4  Ingredientes,campanario
