web-scraper-order,web-scraper-start-url,name,rating,name-link,name-link-href,price-food,name-food,colonia
1616634150-8279,https://www.rappi.com.mx/restaurantes/category/pizza,Pizzería Al Volo,4.8,Pizzería Al Volo  4.8  Pizza  28 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard,https://www.rappi.com.mx/restaurantes/1306704971,40,San Pellegrino Mandarina 330 ml,refugio
1616634118-8061,https://www.rappi.com.mx/restaurantes/category/pizza,Pizza Puq,null,Pizza Puq  Pizza  29 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard,https://www.rappi.com.mx/restaurantes/1923240329,199,Pizza Hawaiana Mediana,refugio
1616634125-8126,https://www.rappi.com.mx/restaurantes/category/pizza,Piccolo Pizza,4.6,Piccolo Pizza  4.6  Pizza  33 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard,https://www.rappi.com.mx/restaurantes/1923216735,180,Pizza Superiore con 3 Ingredientes,refugio
1616634093-7965,https://www.rappi.com.mx/restaurantes/category/pizza,Sofia Pizzeria El Refugio,null,Sofia Pizzeria El Refugio  Pizza  30 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard,https://www.rappi.com.mx/restaurantes/1923271166,157,Margherita,refugio
1616634144-8200,https://www.rappi.com.mx/restaurantes/category/pizza,Domino's Pizza,3.7,Domino's Pizza  3.7  Pizza  30 min ¡90% OFF EN TODO! MÍN. $100 RappiCard,https://www.rappi.com.mx/restaurantes/1923226374,239,Pizza Extra grande 1 Ingrediente,refugio
1616634093-7974,https://www.rappi.com.mx/restaurantes/category/pizza,Sofia Pizzeria El Refugio,null,Sofia Pizzeria El Refugio  Pizza  30 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard,https://www.rappi.com.mx/restaurantes/1923271166,178,Carnes Frías,refugio
1616634131-8139,https://www.rappi.com.mx/restaurantes/category/pizza,Coliseo Pizza.,4.5,Coliseo Pizza.  4.5  Pizza  36 min ¡90% OFF EN TODO! MÍN. $100 RappiCard,https://www.rappi.com.mx/restaurantes/1923241747,163,Pizza Margarita,refugio
1616634093-7964,https://www.rappi.com.mx/restaurantes/category/pizza,Sofia Pizzeria El Refugio,null,Sofia Pizzeria El Refugio  Pizza  30 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard,https://www.rappi.com.mx/restaurantes/1923271166,94,Ensalada de la Casa,refugio
1616634093-7978,https://www.rappi.com.mx/restaurantes/category/pizza,Sofia Pizzeria El Refugio,null,Sofia Pizzeria El Refugio  Pizza  30 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard,https://www.rappi.com.mx/restaurantes/1923271166,178,Italiana,refugio
1616634131-8150,https://www.rappi.com.mx/restaurantes/category/pizza,Coliseo Pizza.,4.5,Coliseo Pizza.  4.5  Pizza  36 min ¡90% OFF EN TODO! MÍN. $100 RappiCard,https://www.rappi.com.mx/restaurantes/1923241747,216,Pizza Vegetariana,refugio
1616634150-8274,https://www.rappi.com.mx/restaurantes/category/pizza,Pizzería Al Volo,4.8,Pizzería Al Volo  4.8  Pizza  28 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard,https://www.rappi.com.mx/restaurantes/1306704971,42,San Pellegrino Naranja 330 ml,refugio
1616634106-8026,https://www.rappi.com.mx/restaurantes/category/pizza,Albahaca 33,null,Albahaca 33                                                         Pizza  28 min ● $26  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard,https://www.rappi.com.mx/restaurantes/1923204475,134,Pastel Albahaca Especial,refugio
1616634087-7935,https://www.rappi.com.mx/restaurantes/category/pizza,Nuut Grill,null,Nuut Grill  Pizza  33 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard,https://www.rappi.com.mx/restaurantes/1923268677,250,Arrachera 200 gr,refugio
1616634150-8267,https://www.rappi.com.mx/restaurantes/category/pizza,Pizzería Al Volo,4.8,Pizzería Al Volo  4.8  Pizza  28 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard,https://www.rappi.com.mx/restaurantes/1306704971,257,Quattro Stagioni,refugio
1616634137-8178,https://www.rappi.com.mx/restaurantes/category/pizza,iL Forno Pizza.,4.5,iL Forno Pizza.  4.5  Pizza  29 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard,https://www.rappi.com.mx/restaurantes/1923222496,271,Pizza de Camarón al Ajillo,refugio
1616634106-8034,https://www.rappi.com.mx/restaurantes/category/pizza,Albahaca 33,null,Albahaca 33                                                         Pizza  28 min ● $26  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard,https://www.rappi.com.mx/restaurantes/1923204475,36,Búho Naranja Mandarina 355 ml,refugio
1616634156-8327,https://www.rappi.com.mx/restaurantes/category/pizza,Amore Pizza,null,Amore Pizza  Pizza  28 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard,https://www.rappi.com.mx/restaurantes/1923216957,99,Pizza Panceta,refugio
1616634118-8070,https://www.rappi.com.mx/restaurantes/category/pizza,Pizza Puq,null,Pizza Puq  Pizza  29 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard,https://www.rappi.com.mx/restaurantes/1923240329,237,Pizza Boneless Mediana,refugio
1616634150-8225,https://www.rappi.com.mx/restaurantes/category/pizza,Pizzería Al Volo,4.8,Pizzería Al Volo  4.8  Pizza  28 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard,https://www.rappi.com.mx/restaurantes/1306704971,185,Lasagna de Espinaja,refugio
1616634150-8224,https://www.rappi.com.mx/restaurantes/category/pizza,Pizzería Al Volo,4.8,Pizzería Al Volo  4.8  Pizza  28 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard,https://www.rappi.com.mx/restaurantes/1306704971,565,Lasagna para Evento,refugio
1616634093-7982,https://www.rappi.com.mx/restaurantes/category/pizza,Sofia Pizzeria El Refugio,null,Sofia Pizzeria El Refugio  Pizza  30 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard,https://www.rappi.com.mx/restaurantes/1923271166,136,Fettucine Alfredo,refugio
1616634118-8082,https://www.rappi.com.mx/restaurantes/category/pizza,Pizza Puq,null,Pizza Puq  Pizza  29 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard,https://www.rappi.com.mx/restaurantes/1923240329,224,Pizza Atún Grande,refugio
1616634144-8198,https://www.rappi.com.mx/restaurantes/category/pizza,Domino's Pizza,3.7,Domino's Pizza  3.7  Pizza  30 min ¡90% OFF EN TODO! MÍN. $100 RappiCard,https://www.rappi.com.mx/restaurantes/1923226374,329,Pizza Extra grande 5-9 Ingredientes,refugio
1616634118-8101,https://www.rappi.com.mx/restaurantes/category/pizza,Pizza Puq,null,Pizza Puq  Pizza  29 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard,https://www.rappi.com.mx/restaurantes/1923240329,137,6 Boneless,refugio
1616634106-8030,https://www.rappi.com.mx/restaurantes/category/pizza,Albahaca 33,null,Albahaca 33                                                         Pizza  28 min ● $26  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard,https://www.rappi.com.mx/restaurantes/1923204475,27,Avia Té Negro Limón 500 ml,refugio
1616634106-8020,https://www.rappi.com.mx/restaurantes/category/pizza,Albahaca 33,null,Albahaca 33                                                         Pizza  28 min ● $26  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard,https://www.rappi.com.mx/restaurantes/1923204475,116,La Pasta de mi Madre,refugio
1616634087-7960,https://www.rappi.com.mx/restaurantes/category/pizza,Nuut Grill,null,Nuut Grill  Pizza  33 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard,https://www.rappi.com.mx/restaurantes/1923268677,86,Stella Artois 355 ml,refugio
1616634100-7988,https://www.rappi.com.mx/restaurantes/category/pizza,Lucciano's,null,Lucciano's  Pizza  30 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard,https://www.rappi.com.mx/restaurantes/1923253263,250,Pizza 4 Quesos,refugio
1616634106-8031,https://www.rappi.com.mx/restaurantes/category/pizza,Albahaca 33,null,Albahaca 33                                                         Pizza  28 min ● $26  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard,https://www.rappi.com.mx/restaurantes/1923204475,36,Búho Kola Café 355 ml,refugio
